Mods count: 394
 
                                    jar name                                     |    notes     |                 mod id                  |                      mod name                       |          mod version           |                                                                                                                                                                            mixin configs                                                                                                                                                                            |              modrinth hash               | curseforge hash
        /META-INF/jars/fabric-rendering-data-attachment-v1-0.116.11.jar          |              | fabric-rendering-data-attachment-v1     | Fabric Rendering Data Attachment (v1)               | 0.3.49+73761d2e19              | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json                                                                                                                                                                                                                                                             |                                          |                
        /META-INF/jars/fabric-rendering-fluids-v1-0.116.11.jar                   |              | fabric-rendering-fluids-v1              | Fabric Rendering Fluids (v1)                        | 3.1.6+1daea21519               | fabric-rendering-fluids-v1.mixins.json                                                                                                                                                                                                                                                                                                                              |                                          |                
        /META-INF/jars/fabric-rendering-v0-0.116.11.jar                          |              | fabric-rendering-v0                     | Fabric Rendering (v0)                               | 1.1.72+df3654b319              |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
        /META-INF/jars/fabric-rendering-v1-0.116.11.jar                          |              | fabric-rendering-v1                     | Fabric Rendering (v1)                               | 5.1.0+ab4c25a019               | fabric-rendering-v1.mixins.json                                                                                                                                                                                                                                                                                                                                     |                                          |                
        /META-INF/jars/fabric-resource-conditions-api-v1-0.116.11.jar            |              | fabric-resource-conditions-api-v1       | Fabric Resource Conditions API (v1)                 | 4.3.0+8dc279b119               | fabric-resource-conditions-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                       |                                          |                
        /META-INF/jars/fabric-resource-loader-v0-0.116.11.jar                    |              | fabric-resource-loader-v0               | Fabric Resource Loader (v0)                         | 1.3.1+5b5275af19               | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json                                                                                                                                                                                                                                                                                 |                                          |                
        /META-INF/jars/fabric-screen-api-v1-0.116.11.jar                         |              | fabric-screen-api-v1                    | Fabric Screen API (v1)                              | 2.0.25+8b68f1c719              | fabric-screen-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                    |                                          |                
        /META-INF/jars/fabric-screen-handler-api-v1-0.116.11.jar                 |              | fabric-screen-handler-api-v1            | Fabric Screen Handler API (v1)                      | 1.3.90+b559734419              | fabric-screen-handler-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                            |                                          |                
        /META-INF/jars/fabric-sound-api-v1-0.116.11.jar                          |              | fabric-sound-api-v1                     | Fabric Sound API (v1)                               | 1.0.23+6573ed8c19              | fabric-sound-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                     |                                          |                
        /META-INF/jars/fabric-transfer-api-v1-0.116.11.jar                       |              | fabric-transfer-api-v1                  | Fabric Transfer API (v1)                            | 5.4.4+7b3d111d19               | fabric-transfer-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                  |                                          |                
        /META-INF/jars/fabric-transitive-access-wideners-v1-0.116.11.jar         |              | fabric-transitive-access-wideners-v1    | Fabric Transitive Access Wideners (v1)              | 6.2.0+45b9699719               |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-api-base-0.4.42+6573ed8c19.jar                         |              | fabric-api-base                         | Fabric API Base                                     | 0.4.42+6573ed8c19              |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-api-lookup-api-v1-1.6.72+7b3d111d19.jar                |              | fabric-api-lookup-api-v1                | Fabric API Lookup API (v1)                          | 1.6.72+7b3d111d19              | fabric-api-lookup-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                |                                          |                
    /META-INF/jars/fabric-biome-api-v1-13.0.31+d527f9fd19.jar                    |              | fabric-biome-api-v1                     | Fabric Biome API (v1)                               | 13.0.31+d527f9fd19             | fabric-biome-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-block-api-v1-1.1.0+0bc3503219.jar                      |              | fabric-block-api-v1                     | Fabric Block API (v1)                               | 1.1.0+0bc3503219               | fabric-block-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-block-view-api-v2-1.0.11+ebb2264e19.jar                |              | fabric-block-view-api-v2                | Fabric BlockView API (v2)                           | 1.0.11+ebb2264e19              | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jars/fabric-blockrenderlayer-v1-1.1.52+0af3f5a719.jar              |              | fabric-blockrenderlayer-v1              | Fabric BlockRenderLayer Registration (v1)           | 1.1.52+0af3f5a719              | fabric-blockrenderlayer-v1.mixins.json                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jars/fabric-client-tags-api-v1-1.1.15+6573ed8c19.jar               |              | fabric-client-tags-api-v1               | Fabric Client Tags                                  | 1.1.15+6573ed8c19              |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-command-api-v1-1.2.49+f71b366f19.jar                   |              | fabric-command-api-v1                   | Fabric Command API (v1)                             | 1.2.49+f71b366f19              |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-command-api-v2-2.2.28+6ced4dd919.jar                   |              | fabric-command-api-v2                   | Fabric Command API (v2)                             | 2.2.28+6ced4dd919              | fabric-command-api-v2.mixins.json, fabric-command-api-v2.client.mixins.json                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jars/fabric-commands-v0-0.2.66+df3654b319.jar                      |              | fabric-commands-v0                      | Fabric Commands (v0)                                | 0.2.66+df3654b319              |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-content-registries-v0-8.0.19+b559734419.jar            |              | fabric-content-registries-v0            | Fabric Content Registries (v0)                      | 8.0.19+b559734419              | fabric-content-registries-v0.mixins.json                                                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jars/fabric-convention-tags-v1-2.1.7+7f945d5b19.jar                |              | fabric-convention-tags-v1               | Fabric Convention Tags                              | 2.1.7+7f945d5b19               |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-convention-tags-v2-2.12.0+c3656daa19.jar               |              | fabric-convention-tags-v2               | Fabric Convention Tags (v2)                         | 2.12.0+c3656daa19              | fabric-convention-tags-api-v2.mixins.json                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/fabric-crash-report-info-v1-0.2.29+0af3f5a719.jar             |              | fabric-crash-report-info-v1             | Fabric Crash Report Info (v1)                       | 0.2.29+0af3f5a719              | fabric-crash-report-info-v1.mixins.json                                                                                                                                                                                                                                                                                                                             |                                          |                
    /META-INF/jars/fabric-data-attachment-api-v1-1.4.6+5b36e0f719.jar            |              | fabric-data-attachment-api-v1           | Fabric Data Attachment API (v1)                     | 1.4.6+5b36e0f719               | fabric-data-attachment-api-v1.mixins.json, fabric-data-attachment-api-v1.client.mixins.json                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jars/fabric-data-generation-api-v1-20.2.37+60a6976219.jar          |              | fabric-data-generation-api-v1           | Fabric Data Generation API (v1)                     | 20.2.37+60a6976219             | fabric-data-generation-api-v1.mixins.json, fabric-data-generation-api-v1.client.mixins.json                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jars/fabric-dimensions-v1-4.0.1+65213ef819.jar                     |              | fabric-dimensions-v1                    | Fabric Dimensions API (v1)                          | 4.0.1+65213ef819               | fabric-dimensions-v1.mixins.json                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jars/fabric-entity-events-v1-1.8.0+2b27e0a419.jar                  |              | fabric-entity-events-v1                 | Fabric Entity Events (v1)                           | 1.8.0+2b27e0a419               | fabric-entity-events-v1.client.mixins.json, fabric-entity-events-v1.mixins.json                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-events-interaction-v0-0.7.13+ba9dae0619.jar            |              | fabric-events-interaction-v0            | Fabric Events Interaction (v0)                      | 0.7.13+ba9dae0619              | fabric-events-interaction-v0.client.mixins.json, fabric-events-interaction-v0.mixins.json                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jars/fabric-game-rule-api-v1-1.0.53+6ced4dd919.jar                 |              | fabric-game-rule-api-v1                 | Fabric Game Rule API (v1)                           | 1.0.53+6ced4dd919              | fabric-game-rule-api-v1.mixins.json, fabric-game-rule-api-v1.client.mixins.json                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-gametest-api-v1-2.0.5+6fc22b9919.jar                   |              | fabric-gametest-api-v1                  | Fabric Game Test API (v1)                           | 2.0.5+6fc22b9919               | fabric-gametest-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jars/fabric-item-api-v1-11.2.0+3b3cb2e819.jar                      |              | fabric-item-api-v1                      | Fabric Item API (v1)                                | 11.2.0+3b3cb2e819              | fabric-item-api-v1.client.mixins.json, fabric-item-api-v1.mixins.json                                                                                                                                                                                                                                                                                               |                                          |                
    /META-INF/jars/fabric-item-group-api-v1-4.1.7+def88e3a19.jar                 |              | fabric-item-group-api-v1                | Fabric Item Group API (v1)                          | 4.1.7+def88e3a19               | fabric-item-group-api-v1.client.mixins.json, fabric-item-group-api-v1.mixins.json                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jars/fabric-key-binding-api-v1-1.0.47+0af3f5a719.jar               |              | fabric-key-binding-api-v1               | Fabric Key Binding API (v1)                         | 1.0.47+0af3f5a719              | fabric-key-binding-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                               |                                          |                
    /META-INF/jars/fabric-keybindings-v0-0.2.45+df3654b319.jar                   |              | fabric-keybindings-v0                   | Fabric Key Bindings (v0)                            | 0.2.45+df3654b319              |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-lifecycle-events-v1-2.6.0+0865547519.jar               |              | fabric-lifecycle-events-v1              | Fabric Lifecycle Events (v1)                        | 2.6.0+0865547519               | fabric-lifecycle-events-v1.client.mixins.json, fabric-lifecycle-events-v1.mixins.json                                                                                                                                                                                                                                                                               |                                          |                
    /META-INF/jars/fabric-loot-api-v2-3.0.15+3f89f5a519.jar                      |              | fabric-loot-api-v2                      | Fabric Loot API (v2)                                | 3.0.15+3f89f5a519              | fabric-loot-api-v2.mixins.json                                                                                                                                                                                                                                                                                                                                      |                                          |                
    /META-INF/jars/fabric-loot-api-v3-1.0.3+3f89f5a519.jar                       |              | fabric-loot-api-v3                      | Fabric Loot API (v3)                                | 1.0.3+3f89f5a519               | fabric-loot-api-v3.mixins.json                                                                                                                                                                                                                                                                                                                                      |                                          |                
    /META-INF/jars/fabric-message-api-v1-6.0.14+8aaf3aca19.jar                   |              | fabric-message-api-v1                   | Fabric Message API (v1)                             | 6.0.14+8aaf3aca19              | fabric-message-api-v1.client.mixins.json, fabric-message-api-v1.mixins.json                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jars/fabric-model-loading-api-v1-2.1.0+b4d813fc19.jar              |              | fabric-model-loading-api-v1             | Fabric Model Loading API (v1)                       | 2.1.0+b4d813fc19               | fabric-model-loading-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                             |                                          |                
    /META-INF/jars/fabric-networking-api-v1-4.3.0+c7469b2119.jar                 |              | fabric-networking-api-v1                | Fabric Networking API (v1)                          | 4.3.0+c7469b2119               | fabric-networking-api-v1.mixins.json, fabric-networking-api-v1.client.mixins.json                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jars/fabric-object-builder-api-v1-15.2.1+40875a9319.jar            |              | fabric-object-builder-api-v1            | Fabric Object Builder API (v1)                      | 15.2.1+40875a9319              | fabric-object-builder-v1.mixins.json, fabric-object-builder-v1.client.mixins.json                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jars/fabric-particles-v1-4.0.2+6573ed8c19.jar                      |              | fabric-particles-v1                     | Fabric Particles (v1)                               | 4.0.2+6573ed8c19               | fabric-particles-v1.client.mixins.json                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jars/fabric-recipe-api-v1-5.0.15+2475392c19.jar                    |              | fabric-recipe-api-v1                    | Fabric Recipe API (v1)                              | 5.0.15+2475392c19              | fabric-recipe-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jars/fabric-registry-sync-v0-5.3.1+e3eddc2119.jar                  |              | fabric-registry-sync-v0                 | Fabric Registry Sync (v0)                           | 5.3.1+e3eddc2119               | fabric-registry-sync-v0.mixins.json, fabric-registry-sync-v0.client.mixins.json                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-renderer-api-v1-3.4.1+b4d813fc19.jar                   |              | fabric-renderer-api-v1                  | Fabric Renderer API (v1)                            | 3.4.1+b4d813fc19               | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-renderer-indigo-1.7.1+c705a49c19.jar                   |              | fabric-renderer-indigo                  | Fabric Renderer - Indigo                            | 1.7.1+c705a49c19               | fabric-renderer-indigo.mixins.json                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jars/fabric-renderer-registries-v1-3.2.69+df3654b319.jar           |              | fabric-renderer-registries-v1           | Fabric Renderer Registries (v1)                     | 3.2.69+df3654b319              |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-rendering-data-attachment-v1-0.3.49+73761d2e19.jar     |              | fabric-rendering-data-attachment-v1     | Fabric Rendering Data Attachment (v1)               | 0.3.49+73761d2e19              | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json                                                                                                                                                                                                                                                             |                                          |                
    /META-INF/jars/fabric-rendering-fluids-v1-3.1.6+1daea21519.jar               |              | fabric-rendering-fluids-v1              | Fabric Rendering Fluids (v1)                        | 3.1.6+1daea21519               | fabric-rendering-fluids-v1.mixins.json                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jars/fabric-rendering-v0-1.1.72+df3654b319.jar                     |              | fabric-rendering-v0                     | Fabric Rendering (v0)                               | 1.1.72+df3654b319              |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-rendering-v1-5.1.0+ab4c25a019.jar                      |              | fabric-rendering-v1                     | Fabric Rendering (v1)                               | 5.1.0+ab4c25a019               | fabric-rendering-v1.mixins.json                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-resource-conditions-api-v1-4.3.0+8dc279b119.jar        |              | fabric-resource-conditions-api-v1       | Fabric Resource Conditions API (v1)                 | 4.3.0+8dc279b119               | fabric-resource-conditions-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                       |                                          |                
    /META-INF/jars/fabric-resource-loader-v0-1.3.1+5b5275af19.jar                |              | fabric-resource-loader-v0               | Fabric Resource Loader (v0)                         | 1.3.1+5b5275af19               | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json                                                                                                                                                                                                                                                                                 |                                          |                
    /META-INF/jars/fabric-screen-api-v1-2.0.25+8b68f1c719.jar                    |              | fabric-screen-api-v1                    | Fabric Screen API (v1)                              | 2.0.25+8b68f1c719              | fabric-screen-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                    |                                          |                
    /META-INF/jars/fabric-screen-handler-api-v1-1.3.90+b559734419.jar            |              | fabric-screen-handler-api-v1            | Fabric Screen Handler API (v1)                      | 1.3.90+b559734419              | fabric-screen-handler-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jars/fabric-sound-api-v1-1.0.23+6573ed8c19.jar                     |              | fabric-sound-api-v1                     | Fabric Sound API (v1)                               | 1.0.23+6573ed8c19              | fabric-sound-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jars/fabric-transfer-api-v1-5.4.4+7b3d111d19.jar                   |              | fabric-transfer-api-v1                  | Fabric Transfer API (v1)                            | 5.4.4+7b3d111d19               | fabric-transfer-api-v1.mixins.json                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jars/fabric-transitive-access-wideners-v1-6.2.0+45b9699719.jar     |              | fabric-transitive-access-wideners-v1    | Fabric Transitive Access Wideners (v1)              | 6.2.0+45b9699719               |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
distraction_free_recipes-neoforge-1.2.2-1.21.1.jar                               |              | distraction_free_recipes                | Distraction Free Recipes (EMI)                      | 1.2.2                          | mixins.distraction_free_recipes.json                                                                                                                                                                                                                                                                                                                                | b36e8e58018aae4b79bf86aaac452ec11170cb11 | 963539645      
    /META-INF/jars/conditional-mixin-neoforge-0.6.4.jar                          |              | conditional_mixin                       | conditional mixin                                   | 0.6.4                          |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
draggable_lists-mc1.20.6-1.0.8-build.44.jar                                      |              | draggable_lists                         | Draggable Lists                                     | 1.0.8                          | quilt-draggable_lists-common.mixins.json, fabric-draggable_lists.mixins.json, neoforge-draggable_lists.mixins.json, fabric-draggable_lists-common.mixins.json, quilt-draggable_lists.mixins.json, neoforge-draggable_lists-common.mixins.json                                                                                                                       | 5df77b42f028285321f9277fe72e4d2b407f5433 | 993483601      
drippyloadingscreen_neoforge_3.1.2_MC_1.21.1.jar                                 |              | drippyloadingscreen                     | Drippy Loading Screen                               | 3.1.2                          | drippyloadingscreen.neoforge.mixins.json, drippyloadingscreen.mixins.json                                                                                                                                                                                                                                                                                           | b47a59369a55f818cadd9e0eeb9352b4028a5e9b | 976803780      
DungeonCrawl-NeoForge-1.21-2.3.17.jar                                            |              | dungeoncrawl                            | Dungeon Crawl                                       | 2.3.17                         |                                                                                                                                                                                                                                                                                                                                                                     | 3abb84c4fcf1229fced0cc5e88fa6e9baa0aa4a7 | 2282628671     
durabilitytooltip-1.1.6-neoforge-mc1.21.jar                                      |              | durabilitytooltip                       | Durability Tooltip                                  | 1.1.6                          | durabilitytooltip.mixins.json                                                                                                                                                                                                                                                                                                                                       | 59a567402d894b46d6abe45831f39dcad5c93342 | 953768137      
dynamic-fps-3.11.4+minecraft-1.21.0-neoforge.jar                                 |              | dynamic_fps                             | Dynamic FPS                                         | 3.11.4                         | dynamic_fps-common.mixins.json, dynamic_fps.mixins.json                                                                                                                                                                                                                                                                                                             | 35b17e95b2b65930116ccc83e0cc358ac1bfcf9e | 250368856      
    /META-INF/jars/battery-2.0.0.jar                                             |              |                                         |                                                     |                                |                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
dynamic_difficulty-neoforge-1.1.1+1.21.1.jar                                     |              | dynamic_difficulty                      | Dynamic Difficulty                                  | 1.1.1+1.21.1                   | dynamic_difficulty.neoforge.mixins.json, dynamic_difficulty.mixins.json                                                                                                                                                                                                                                                                                             | f7a9d53eba6659c08db96d075e8e1839623616b2 | 3901851543     
easy_mob_farm-neoforge-1.21.1-10.9.0.jar                                         |              | easy_mob_farm                           | Easy Mob Farm                                       |                                |                                                                                                                                                                                                                                                                                                                                                                     | 95cb45b4a5b49a18ce209852379ad1a64d014c95 | 742300250      
