Mods count: 394
 
                                    jar name                                     |    notes     |                 mod id                  |                      mod name                       |          mod version           |                                                                                                                                                                            mixin configs                                                                                                                                                                            |              modrinth hash               | curseforge hash
artifacts-neoforge-13.2.1.jar                                                    |              | artifacts                               | Artifacts                                           | 13.2.1                         | mixins.artifacts.neoforge.json, mixins.artifacts.common.json                                                                                                                                                                                                                                                                                                        | 3fe4d52cc0b11d91c75005030e83e3f675e62383 | 3678039641     
    /META-INF/jars/expandability-neoforge-12.0.0.jar                             |              | expandability                           | ExpandAbility                                       | 12.0.0                         | expandability.mixins.json, expandability-common.mixins.json                                                                                                                                                                                                                                                                                                         |                                          |                
athena-neoforge-1.21.1-4.0.6.jar                                                 |              | athena                                  | Athena                                              | 4.0.6                          | athena.mixins.json, athena-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                     | 4bcbdf388bd5e387beca7c627224aac33584b55b | 669268138      
attributefix-neoforge-1.21.1-21.1.3.jar                                          |              | attributefix                            | AttributeFix                                        | 21.1.3                         | attributefix.neoforge.mixins.json, attributefix.mixins.json                                                                                                                                                                                                                                                                                                         | 7aae849f6d2a6cb1368227407ea5deb552e100ba | 979895498      
authme-neoforge-9.0.1+1.21.1.jar                                                 |              | authme                                  | Auth Me                                             | 9.0.1+1.21.1                   | authme.mixins.json, authme.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                     | 13d12989930705e645f82c625d25ac26bce589e5 | 3175932501     
    /META-INF/jars/resourcefulconfig-neoforge-1.21-3.0.9.jar                     |              | resourcefulconfig                       | Resourcefulconfig                                   | 3.0.9                          | resourcefulconfig.mixins.json                                                                                                                                                                                                                                                                                                                                       |                                          |                
BadOptimizations-2.4.1-1.21.1.jar                                                |              | badoptimizations                        | BadOptimizations                                    | 2.4.1                          | forge-badoptimizations.mixins.json, fabric-badoptimizations.mixins.json                                                                                                                                                                                                                                                                                             | 1461d8e46391efd32a3085150e86094c9f6f5c9d | 3053351722     
balm-neoforge-1.21.1-21.0.56.jar                                                 |              | balm                                    | Balm                                                | 21.0.56                        | balm.neoforge.mixins.json, balm.mixins.json                                                                                                                                                                                                                                                                                                                         | c1c1d4859c7943c7d1c181c07fa7273a1d56df15 | 1850182331     
    /META-INF/jarjar/kuma-api-neoforge-21.0.7+1.21.jar                           |              | kuma_api                                | KumaAPI                                             | 21.0.7                         | kuma_api.neoforge.mixins.json, kuma_api.mixins.json                                                                                                                                                                                                                                                                                                                 |                                          |                
BarteringStation-v21.1.0-1.21.1-NeoForge.jar                                     |              | barteringstation                        | Bartering Station                                   | 21.1.0                         | barteringstation.neoforge.mixins.json, barteringstation.common.mixins.json                                                                                                                                                                                                                                                                                          | f48d3cf685e11d057e00bd403988fed812756670 | 4268016853     
baubley-heart-canisters-1.21.1-1.4.0.jar                                         |              | bhc                                     | Baubley Heart Canisters                             | 1.21.1-1.4.0                   |                                                                                                                                                                                                                                                                                                                                                                     | ccaae33c804d4897039b55a98e9da608b15fee8b | 2477594453     
BEB-NeoForge-1.21-6.0.0.jar                                                      |              | beb                                     | Beautiful Enchanted Books                           | 6.0.0                          | beb.mixins.json, beb-common.mixins.json                                                                                                                                                                                                                                                                                                                             | 4a1828c61a420b3ef1b759b9cbe595de5c85a48e | 3828674781     
berrypouch-neoforge-1.21.1-0.5.4-beta.jar                                        |              | berrypouch                              | Berry Pouch                                         | 0.5.4-beta                     | berrypouch.neoforge.mixins.json, berrypouch.mixins.json                                                                                                                                                                                                                                                                                                             | 7e00885e79065c7c7a7f923e504c646d6ac020a7 | 4011104391     
BetterAdvancements-NeoForge-1.21.1-0.4.3.21.jar                                  |              | betteradvancements                      | Better Advancements                                 | 0.4.3.21                       |                                                                                                                                                                                                                                                                                                                                                                     | 870521cfaa1a4cb6c830e2409e8b9e4cf179aff2 | 2324986114     
BetterAnimationsCollection-v21.1.1-1.21.1-NeoForge.jar                           |              | betteranimationscollection              | Better Animations Collection                        | 21.1.1                         | betteranimationscollection.common.mixins.json, betteranimationscollection.neoforge.mixins.json                                                                                                                                                                                                                                                                      | 1bacea8719a1af6079bb70a135129a2cd1559423 | 2851432843     
BetterThanMending-2.2.0.jar                                                      |              | betterthanmending                       | BetterThanMending                                   | 2.2.0                          |                                                                                                                                                                                                                                                                                                                                                                     | 868135dde3fc2f33150870de4a0f1831b74b755a | 2782321948     
BHMenu-NeoForge-1.21-2.4.4.jar                                                   |              | bhmenu                                  | BHMenu                                              | 2.4.4                          | bhmenu.mixins.json                                                                                                                                                                                                                                                                                                                                                  | 5edcf2d9007e99c5030b6a525cd701ddfa62f10d | 192081154      
biolith-neoforge-3.0.11.jar                                                      |              | biolith                                 | Biolith                                             | 3.0.11                         | biolith.mixins.json, biolith.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                   | 049799f0622e990216cc4f25c8d9fe5d199ec2ea | 2029315625     
bookshelf-neoforge-1.21.1-21.1.81.jar                                            |              | bookshelf                               | Bookshelf                                           | 21.1.81                        | bookshelf.neoforge.mixins.json, bookshelf.mixins.json                                                                                                                                                                                                                                                                                                               | efc4cda6da4dd879f24d057ed0a6413764c9ba40 | 2267427357     
bwncr-neoforge-1.21.1-3.20.4.jar                                                 |              | bwncr                                   | Bad Wither No Cookie Reloaded                       | 3.20.4                         |                                                                                                                                                                                                                                                                                                                                                                     | dd7920e114fbd066986ea1028aa201a5e0742875 | 290890848      
caelus-neoforge-7.0.1+1.21.1.jar                                                 |              | caelus                                  | Caelus API                                          | 7.0.1+1.21.1                   | caelus.mixins.json                                                                                                                                                                                                                                                                                                                                                  | e4c2e1af4e3082d68f7df75f7c8ce30116d71515 | 2767968248     
catalogue-neoforge-1.21.1-1.11.2.jar                                             |              | catalogue                               | Catalogue                                           | 1.11.2                         |                                                                                                                                                                                                                                                                                                                                                                     | 6d67f855c20bc6392763cfb22e1152da4e8015b4 | 3329807613     
catchindicator-neoforge-1.7.0.jar                                                |              | catchindicator                          | Catch Indicator                                     | 1.7.0                          | catchindicator-neoforge.mixins.json, catchindicator-common.mixins.json                                                                                                                                                                                                                                                                                              | 8a44e230efd2d2d635d1d6830275a1ca68bd7a36 | 2099945288     
catchrate-display-neoforge-2.8.22.jar                                            |              | catchrate_display                       | Cobblemon Catch Rate Display                        | 2.8.22                         | catchrate-display-common.mixins.json                                                                                                                                                                                                                                                                                                                                | aad8deb2b48d982753753d5d9b9a360cd00c6907 | 3352981367     
chat_heads-0.15.2-neoforge-1.21.jar                                              |              | chat_heads                              | Chat Heads                                          | 0.15.2                         | chat_heads.mixins.json, chat_heads.neoforge.mixins.json                                                                                                                                                                                                                                                                                                             | 86abc08fbfa8eb3e2a41aa4403a6bd52543ea665 | 3913145737     
cherishedworlds-neoforge-10.1.1+1.21.1.jar                                       |              | cherishedworlds                         | Cherished Worlds                                    | 10.1.1+1.21.1                  | cherishedworlds.mixins.json                                                                                                                                                                                                                                                                                                                                         | aefc8c79ba62606a71f509a9b3c881f3fc4cad5c | 4116184642     
chipped-neoforge-1.21.1-4.0.2.jar                                                |              | chipped                                 | Chipped                                             | 4.0.2                          | chipped-common.mixins.json                                                                                                                                                                                                                                                                                                                                          | 6f5395f58139802edfde7cb9170279f92f291971 | 527531260      
chunksending-1.21-2.9.jar                                                        |              | chunksending                            | chunksending mod                                    | 2.9                            | chunksending.mixins.json                                                                                                                                                                                                                                                                                                                                            | 636a121a3252028bb0ec14a3f39f9bbf723ddacd | 3840699650     
Chunky-NeoForge-1.4.23.jar                                                       |              | chunky                                  | Chunky                                              | 1.4.23                         |                                                                                                                                                                                                                                                                                                                                                                     | ab0c74743a653020fe2dfc4986b43e893947f3e9 | 233801764      
ChunkyBorder-1.2.18.jar                                                          |              | chunkyborder                            | ChunkyBorder                                        | 1.2.18                         | chunkyborder.mixins.json                                                                                                                                                                                                                                                                                                                                            | b1c53d6e13100658d4dc2b2e33a650162748c4ea | 477445828      
cleanswing-1.9.jar                                                               |              | cleanswing                              | Clean Swing                                         | 1.9                            |                                                                                                                                                                                                                                                                                                                                                                     | c4746d331a9a73158da1c330f0d46ce8714ce5d8 | 903007035      
clickadv-1.21-3.8.jar                                                            |              | clickadv                                | Clickable Advancements mod                          | 3.8                            | clickadv.mixins.json                                                                                                                                                                                                                                                                                                                                                | 1aeae5774513fdc82fa52d544edcd72b26c498b8 | 2239256942     
clienttweaks-neoforge-1.21.1-21.1.11.jar                                         |              | clienttweaks                            | Client Tweaks                                       | 21.1.11                        | clienttweaks.neoforge.mixins.json, clienttweaks.mixins.json                                                                                                                                                                                                                                                                                                         | ad8d14d4aef0a936bc088749f8f3ca1050f91c2d | 3279909672     
cloth-config-15.0.140-neoforge.jar                                               |              | cloth_config                            | Cloth Config v15 API                                | 15.0.140                       |                                                                                                                                                                                                                                                                                                                                                                     | c3e5733ba4503b102589a026000fd5ce0212f6f2 | 1440957232     
Clumps-neoforge-1.21.1-19.0.0.1.jar                                              |              | clumps                                  | Clumps                                              | 19.0.0.1                       | clumps.mixins.json                                                                                                                                                                                                                                                                                                                                                  | fa2576297c7bd12b28aa7070e8141792bd66da4c | 2871381177     
cobblecapsule-1.4.jar                                                            |              | cobblecapsule                           | Cobble Capsule                                      | 1.4                            |                                                                                                                                                                                                                                                                                                                                                                     | 3620af28a063189176d27e67ba5a65bcb54ae81c | 1593320008     
cobbledex-rei-emi-jei-neoforge-2.0.2.jar                                         |              | cobbledex_rei_emi_jei                   | CobbleDex REI/EMI/JEI                               | 2.0.2                          |                                                                                                                                                                                                                                                                                                                                                                     | 1281e791581b2463cf5be1cf2c26327dc0dc7702 | 3394007094     
cobbledgacha-neoforge-1.21.1-3.0.3.jar                                           |              | cobbledgacha                            | Cobbled Gacha                                       | 3.0.3                          | cobbledgacha.neoforge.mixins.json, cobbledgacha.mixins.json                                                                                                                                                                                                                                                                                                         | a2450dd08503743f4ac313f67f6007f7161afae9 | 442771816      
CobbleFurnies-neoforge-1.1.jar                                                   |              | cobblefurnies                           | CobbleFurnies                                       | 1.1                            | cobblefurnies.mixins.json                                                                                                                                                                                                                                                                                                                                           | ede2d4c0735de9c96111567aa87b1f1868786ca7 | 2404268563     
cobblemon-battle-extras-neoforge-1.13.45.jar                                     |              | cobblemon_battle_extras                 | Cobblemon Battle Extras                             | 1.13.45                        | cobblemon-battle-extras-neoforge.mixins.json, cobblemon-battle-extras.client.mixins.json, cobblemon-battle-extras-common.mixins.json, cobblemon-battle-extras.compat.mixins.json                                                                                                                                                                                    | eb446be193bdd4981d16c86bb40410be3f0cb693 | 1479537544     
cobblemon-leaderboards-neoforge-1.6.jar                                          |              | cobblemon_leaderboards                  | Cobblemon Leaderboards                              | 1.6                            |                                                                                                                                                                                                                                                                                                                                                                     | fa0d22a2afb93412ff9db7ea171234d74f023604 | 3906890554     
Cobblemon-neoforge-1.7.3+1.21.1.jar                                              |              | cobblemon                               | Cobblemon                                           | 1.7.3+1.21.1                   | mixins.cobblemon-common.json, mixins.cobblemon-neoforge.json                                                                                                                                                                                                                                                                                                        | 580ea363bbc391c98e548962a47c683155522f38 | 2189165479     
Cobblemon-Utility+-neoforge-1.7.3.jar                                            |              | cobblemon_utility                       | Cobblemon Utility+                                  | 1.7.3                          |                                                                                                                                                                                                                                                                                                                                                                     | c234d05b77b3184ed49c25733b084513501911f7 | 3252531550     
cobblemon_battle_tower-neoforge-1.10.22.jar                                      |              | cobblemon_battle_tower                  | Cobblemon Battle Tower                              | 1.10.22                        | cobblemon_battle_tower.mixins.json                                                                                                                                                                                                                                                                                                                                  | 90a48ce1e827967637763b864705e81f70be21b7 | 4006790878     
cobblemon_industries-neoforge-1.4.0.jar                                          |              | cobblemon_industries                    | cobblemon_industries                                | 1.4.0                          | cobblemon_industries.mixins.json                                                                                                                                                                                                                                                                                                                                    | cc72d8fdce8b316719db3846990c003b6c01a0e6 | 846226537      
